height_mm,volume_l
0,1784.29
48,4923.84
50,5054.66
100,8324.23
150,11592.14
200,14860.35
250,18128.83
300,21399.08
350,24668.7
400,27938.31
450,31207.92
500,34482.11
550,37756.3
600,41030.53
650,44304.72
700,47578.92
750,50853.11
800,54127.34
850,57401.53
900,60675.72
950,63949.91
1000,67224.14
1050,70495.72
1100,73766.7
1150,77037.63
1200,80308.61
1250,83579.55
1300,86850.48
1350,90121.46
1400,93392.39
1450,96663.33
1500,99934.19
1550,103204.63
1600,106475.12
1650,109745.56
1700,113016.01
1750,116286.45
1800,119556.89
1850,122827.38
1900,126097.82
1950,129368.26
2000,132638.71
2050,135909.15
2100,139179.64
2150,142450.08
2200,145720.52
2250,148990.97
2300,152261.41
2350,155531.86
2400,158802.34
2450,162072.78
2500,165343.23
2550,168613.67
2600,171884.12
2650,175154.6
2700,178425.04
2750,181695.49
2800,184965.93
2850,188236.38
2900,191506.86
2950,194777.3
3000,198047.75
3050,201318.04
3100,204588.3
3150,207858.55
3200,211128.81
3250,214399.06
3300,217669.28
3350,220939.53
3400,224209.79
3450,227480.04
3500,230750.3
3550,234020.55
3600,237290.81
3650,240561.06
3700,243831.32
3750,247101.57
3800,250371.79
3850,253642.05
3900,256912.3
3950,260182.56
4000,263452.81
4050,266723.07
4100,269993.32
4150,273263.58
4200,276533.83
4250,279804.09
4300,283074.34
4350,286344.56
4400,289614.81
4450,292885.07
4500,296155.32
4550,299427.32
4600,302701.74
4650,305976.12
4700,309250.54
4750,312524.92
4800,315799.34
4850,319073.72
4900,322348.14
4950,325622.52
5000,328896.94
5050,332171.36
5100,335445.74
5150,338720.16
5200,341994.54
5250,345268.96
5300,348543.34
5350,351817.76
5400,355092.14
5450,358366.56
5500,361640.94
5550,364915.36
5600,368189.74
5650,371464.16
5700,374738.54
5750,378012.96
5800,381287.38
5850,384561.76
5900,387836.18
5950,391110.56
6000,394384.98
6050,397659.36
6100,400954.22
6150,404254.16
6200,407554.13
6250,410854.06
6300,414154.03
6350,417453.96
6400,420753.93
6450,424053.87
6500,427353.84
6550,430653.77
6600,433953.74
6650,437253.67
6700,440553.64
6750,443853.58
6800,447153.55
6850,450453.48
6900,453753.45
6950,457053.38
7000,460353.35
7050,463653.29
7100,466953.26
7150,470253.19
7200,473553.16
7250,476853.09
7300,480153.06
7350,483453.0
7400,486752.97
7450,490052.9
7500,493352.87
7550,496652.8
7600,499958.34
7650,503269.89
7700,506581.44
7750,509893.0
7800,513204.55
7850,516516.07
7900,519827.62
7950,523139.18
8000,526450.73
8050,529762.28
8100,533073.84
8150,536385.39
8200,539696.95
8250,543008.5
8300,546320.05
8350,549631.61
8400,552943.16
8450,556254.72
8500,559566.27
8550,562877.82
8600,566189.38
8650,569500.89
8700,572812.45
8750,576124.0
8800,579435.56
8850,582747.11
8900,586058.66
8950,589370.22
9000,592681.77
9050,595993.33
9100,599305.64
9150,602616.43
9194,605530.59
