height_mm,volume_l
0,1200.01
50,2982.0
100,5244.35
150,7506.7
200,9766.06
250,12024.44
300,14281.79
350,16540.17
400,18801.53
450,21063.85
500,23327.22
550,25592.53
600,27857.87
650,30123.17
700,32388.51
750,34654.84
800,36920.14
850,39185.49
900,41450.83
950,43716.13
1000,45981.47
1050,48246.78
1100,50512.12
1150,52774.47
1200,55036.82
1250,57299.17
1300,59560.5
1350,61822.85
1400,64085.2
1450,66347.56
1500,68609.91
1550,70871.24
1600,73133.59
1650,75395.94
1700,77658.29
1750,79920.6
1800,82181.97
1850,84444.32
1900,86706.67
1950,88968.99
2000,91231.34
2050,93492.71
2100,95755.06
2150,98018.39
2200,100282.71
2250,102546.05
2300,104810.41
2350,107074.73
2400,109338.06
2450,111602.38
2500,113866.74
2550,116130.07
2600,118394.39
2650,120658.75
2700,122922.09
2750,125186.41
2800,127450.73
2850,129714.06
2900,131978.42
2950,134242.74
3000,136506.08
3050,138770.43
3100,141034.75
3150,143299.07
3200,145562.41
3250,147826.77
3300,150091.09
3350,152354.42
3400,154618.78
3450,156883.1
3500,159146.43
3550,161410.75
3600,163675.11
3650,165938.45
3700,168202.77
3750,170467.09
3800,172730.46
3850,174994.78
3900,177259.1
3950,179522.43
4000,181786.79
4050,184051.11
4100,186314.45
4150,188578.81
4200,190843.12
4250,193107.44
4300,195371.8
4350,197637.11
4400,199901.46
4450,202165.78
4500,204431.09
4550,206695.45
4600,208960.75
4650,211225.11
4700,213490.41
4750,215754.77
4800,218020.07
4850,220284.43
4900,222549.73
4950,224814.09
5000,227079.4
5050,229343.75
5100,231608.07
5150,233873.41
5200,236137.73
5250,238403.08
5300,240667.4
5350,242932.74
5400,245197.06
5450,247462.36
5500,249726.72
5550,251992.02
5600,254256.38
5650,256520.7
5700,258786.04
5750,261050.36
5800,263315.7
5850,265580.02
5900,267845.37
5950,270109.69
6000,272375.03
6050,274639.35
6100,276904.69
6150,279169.01
6200,281434.35
6250,283698.67
6300,285962.99
6350,288228.33
6400,290492.65
6450,292757.01
6500,295021.33
6550,297285.65
6600,299550.01
6650,301814.33
6700,304078.65
6750,306343.0
6800,308607.32
6850,310871.64
6900,313136.0
6950,315400.32
7000,317664.64
7050,319929.0
7100,322193.32
7150,324457.68
7200,326722.0
7250,328986.31
7300,331250.67
